"code" "aCy?" "Al" "BB.Car" "Bca" "bCy?" "BE.Car" "Ca" "Ca.allo" "Ca.epi" "Ca.iso1" "Ca.iso2" "Ca.iso3" "Ca.iso4" "Ca.iso5" "Ca.iso7" "Car1" "Car2" "Cb" "Cc2" "Cda" "Ct" "Ct.iso" "Ec" "F" "F.iso1" "L" "L.iso1" "L.iso2" "My.iso1" "My.iso2" "My.iso3" "My.iso4" "O" "Pda.1" "Pha" "Pya" "Z"
"1" "C_P1_R1" 51.4101789823282 56.9564053002849 169.050549518845 198.409128624682 38.2791868591337 10.6477356404899 75.9080254971752 6.71525617242703 11.9490550671202 1.02010380023892 4.43924568345176 0.425470429245377 0.748417863491868 5.86431531393628 0.415218129745488 13.6695372720684 9.58035945563766 0.297744077254959 0.860810337292526 0.358830482496101 13.7863709239664 46.090875673769 69.2222317498231 24.0145984066402 0.31625897813837 30.2014990156382 35.6926806548452 17.525047784703 354.70696716239 49.4206347528626 92.06491769564 41.0086118162051 26.8133231105957 21.95447116068 107.177736484411 114.562422238457 145.925231220627
"2" "C_P1_R3" 48.7635425993894 39.2900519501106 188.384343377771 157.597680700886 34.8150321442008 12.6679276457937 99.7290355682846 9.10383413901933 5.04129118989455 0.408221628059754 2.48867643130404 0.186896648991213 0.398384962323374 4.0527062833884 0.211488313332162 9.97664657221068 14.6286784008258 0.281278396475371 0.894738672658785 0.398384962323374 11.0976180971782 41.4759464237972 80.0690661499361 46.7294009049315 0.829396293117832 19.448855958186 22.3633819231015 16.6464271457673 306.809906383602 64.3998141093824 79.7010754251887 42.7090151012614 19.6730502631795 68.3636339692575 108.194546758069 97.4708394687733 123.979450661405
"3" "C_P1_R4" 56.1600027402242 77.2005616101612 155.599383392388 234.976581551945 41.1766027996505 8.73587555215307 70.5347953292836 7.30339642040398 14.4417991675231 18.8141315095722 14.1360755964364 2.21285632405596 2.82915622132593 7.51691764465499 0.499833774951236 13.1063990699199 11.5579637367648 0.169118635880817 1.01862556579616 0.334840101666362 12.6086877128343 40.5911262334229 81.2611468560921 44.62934251852 1.03789168647721 18.5812239978611 34.895096257888 17.0327886647061 380.140874289576 69.0712761110969 109.66240234452 47.0060726136368 26.4893044493318 56.4935113054637 98.8164094072158 101.272649029193 167.396919766445
"4" "C_P1_R5" 55.004247726407 50.5778560195481 183.706981291272 230.050289115961 42.6236723702952 14.134174971456 81.779439390575 7.56768177196587 3.35024773107671 1.02877382095764 9.29666814121928 0.517080035664572 2.10602389525883 15.5985810758813 0.333947523033369 10.0050855960999 12.2147977522938 0.308038497619962 0.904487817408849 0.263926268203792 10.8030372080588 40.756913103131 65.3067644714622 30.837991725384 0.6424581609455 17.493554569868 26.2710223014157 15.2838424136741 313.16531724725 56.3476599829431 83.7849192556833 55.9179937303498 28.0510682050163 26.8432757516398 105.905111363891 112.825643393611 134.546917954914
"5" "C_P1_R6" 38.0943694476776 69.5298157410045 128.903163696233 245.970060029549 25.3191711958768 8.92487285977177 63.2728495253299 6.39957078365963 6.60682386591085 0.495385416112673 2.88637829184017 0.323517006440929 0.465055696758836 3.92264370309627 0.222417941928139 9.908142756796 8.64082217162442 0.284574627684066 2.2636123684359 0.31846205321529 8.29518928475944 45.9115684718977 81.4784226498249 65.6582921853972 3.38894921666236 18.9522032964296 42.7432670089688 17.5696717489696 215.502104960313 49.4255028216917 104.265920870935 28.7451350909372 19.9891019570245 28.5380404796971 96.4388954141487 120.647026303823 125.291921488554
"6" "C_P2_R1" 41.8806838616728 29.6002164516709 117.965819505336 40.8477938167959 32.7192842669319 8.13082167151266 47.7742839518749 4.57789201496979 4.13005475263579 3.60260197699797 7.0409969578068 0.821034980945669 1.51269475277263 5.94130768029775 0.1343511787002 5.72724494562981 8.8460416982005 0.0844830925937072 0.382979338702656 0.184110874515089 9.5832118397172 19.4499506569408 34.1318204881532 16.4957882787271 1.22797431355289 15.1970459943444 15.9909215313624 10.7173197497429 227.785573728663 22.3986312230077 50.8647397646529 35.0439344197943 12.4751870102828 23.4424011397339 58.5091334231375 52.3094901465137 88.0067738179947
"7" "C_P2_R3" 20.5442494030546 28.4345405895105 71.7228545530854 53.3293693028046 17.2403496452534 5.31010992127306 29.4114480157098 2.95217606444524 3.00470588765601 1.33425750955354 2.85762238266586 0.383467709438617 0.362455780154309 2.91015220587663 0.12081859338477 4.84883744789547 3.77131801502981 0.140820434317888 0.477808899419846 0.105059646421539 6.82428974148251 17.7790706422834 31.4221116957181 19.4234309565853 1.57720852039013 16.8212755908472 14.2472013901126 8.20112012792196 169.529724104197 17.8389328329981 39.3893214903113 25.082257909484 10.5956077565123 13.9076533710654 46.0179707130842 44.7908248274019 67.4646889355332
"8" "C_P2_R4" 19.8181598051192 57.1660718926445 59.9614713938592 45.62201261252 13.0427205555058 4.68342165391033 25.8176445932209 2.98712468519768 3.24386928623946 27.8716014015552 24.9239758857486 4.22641112484167 3.1846205321529 5.21882775579165 0.138247092868653 5.12018951006954 3.3196833087264 0.176480389261436 0.456012607943628 0.113560111999251 4.72632877852573 17.5549354630956 35.2820518544126 23.1506475237258 2.13229648244843 21.6060744161176 22.6751249731651 8.66493609396383 101.672334557095 15.8106950805444 51.4269583758633 40.2300604362607 9.00253100671567 28.6433131230063 50.1738572154674 45.1756951940032 65.8310079866083
"9" "C_P2_R5" 42.8446893725554 22.378502532921 113.066137782977 49.7997973122309 37.2305576616688 7.33498678655387 35.6057370653687 3.93781881622801 7.5242312289081 0.444425745663528 4.83183804878371 0.253219320203638 0.640799912352064 7.48288929907894 0.124025789487496 7.0668955367119 9.304745790004 0.120063940280499 0.578529733109379 0.253219320203638 11.3659236548783 13.7215555004489 34.9844878428295 12.6892339613871 1.10525990953455 13.957118685006 8.59805623633281 10.0703261398145 273.901092843725 21.5540313869713 56.8885090705308 31.5654667306465 13.3682107236133 19.5169297470998 36.6193939584759 45.4724342561294 89.8084641123804
"10" "C_P2_R6" 19.7154397923992 44.249338022015 60.6764850242513 43.8220438642211 11.2325354306844 5.98617978347839 34.9412983688422 3.43785541784216 2.81372095210296 0.291603807763398 1.18176279988324 0.12278055063722 0.0465542921166126 1.37616533839218 0.163707400849627 5.65505373930889 3.96436756982479 0.224002518177016 4.36699916259998 0.0920854129779151 4.78056089302401 15.3910740946139 34.3583709969141 53.782315959367 3.59811268742244 29.033162496658 24.0194035112914 12.3594988941596 128.433849357706 24.0194035112914 45.5902270529851 17.081760264098 7.40403943187866 10.5568222862992 53.7800380622791 58.5604858900372 78.8209552118106
