spl,treatment,week,rep,salinity,pH,temp,O2,NO3,NO2,PO4,Si,NH4,P,aCy,Al,"BB,Car",Bca,bCy,"BE,Car",Ca,"Ca,allo","Ca,epi","Ca,iso1","Ca,iso2","Ca,iso3","Ca,iso4","Ca,iso5","Ca,iso7",Car1,Car2,Cb,Cc2,Cda,Ct,"Ct,iso",Ec,F,"F,iso1",L,"L,iso1","L,iso2","My,iso1","My,iso2","My,iso3","My,iso4",O,"Pda,1",Pha,Pya,Z,EPS.prot.col,EPS.prot.bound,EPS.carbo.bound,EPS.carbo.col
T°C-R1-P1,T°C,P1,R1,"61,2","8,105","19,9","0,3","0,51","0,24","38,58","333,12","104,08","293,204","21,7473734000","41,5180113000","70,0222885000","36,0689890000","11,8783208000","3,5064814900","39,1456398000","3,7827865800","4,4700961600","1,4004578700","3,1523221500","0,4599289700","0,4650967100","2,7027286600","0,1240257900","4,7701544900","3,5334477700","0,1662423800","1,2293756800","0,3669096300","5,9479704100","26,6775307000","54,5128660000","35,1345121000","2,5080897900","17,1372217000","18,3150376000","9,3636365900","126,3207580000","18,3150376000","46,4059474000","13,5448831000","10,7770157000","8,6518348400","47,4844889000","56,7399401000","73,1423688000","430,7633504","456,5991765","57,2729358","424,144578"
T°C-R3-P1,T°C,P1,R3,"61,7","7,603",20,"0,7","0,42","1,36","47,67","422,13","95,87","286,287","13,4332212000","17,2692264000","42,4269405000","38,3163468000","7,9087362700","2,3942173900","20,7375370000","2,0442594100","1,2051977100","0,1373010000","0,6509084700","0,0559374500","0,0813635600","0,8797434800","0,0610226700","1,2749093300","1,7964631500","0,0499851600","0,2704135700","0,1373010000","2,8395707800","13,4444984000","15,8468214000","10,9179417000","0,7738770900","9,6777208300","11,6480353000","5,0996373200","83,0429578000","8,6925636200","17,3271768000","10,6049276000","6,4324970800","6,7317483900","27,3229788000","28,3129418000","40,5652969000","277,7373849","217,4167","4,01942471","305,870339"
T°C-R4-P1,T°C,P1,R4,"63,5","8,156",20,"0,1","0,43","0,33","68,32","464,36","89,01","214,999","8,1240122500","12,1715950000","33,2780644000","33,8075832000","6,4992098000","1,8996652500","17,4713182000","1,7392927500","2,7289748300","0,0832900800","0,3625568000","0,1665801500","0,1665801500","0,5193381200","0,0734912400","1,4516581200","1,2283261100","0,0525368500","0,1851156100","0,1322842400","3,5733123100","11,2224340000","14,8290729000","8,9069070200","0,7456008100","9,3799448100","8,7099487500","6,0299645200","108,7626930000","9,6591098300","22,2215359000","12,6182591000","3,3499802900","5,5319893900","24,2262983000","19,4573420000","41,5955886000","191,8929685","215,4621774","32,8303069","171,553893"
T°C-R5-P1,T°C,P1,R5,"60,4","7,951","19,8",1,"3,09","2,79",6,"77,71","82,42","263,405","17,4460866000","34,7709416000","48,5616007000","48,3206836000","7,3123861200","2,9980600600","30,2601888000","2,8397248700","2,3563674500","0,1560841700","1,1580438300","0,1661541100","0,1611191400","1,6867160100","0,1661541100","3,2705341200","2,6393784100","0,1394753100","0,9864160600","0,2467136900","4,1885787800","23,1232500000","45,9886117000","29,4066681000","1,9052207500","14,5165812000","17,8444932000","6,8279571900","73,5009509000","11,4755583000","36,8365421000","7,8033796400","8,0902686000","8,2335183400","46,0684955000","47,4407486000","60,7057034000","250,4845738","365,9919641","25,4913128","281,955008"
T°C-R6-P1,T°C,P1,R6,"61,3","8,184","20,1","0,1","0,43","0,71","43,04","408,88","96,89","450,307","26,8715236000","23,5647804000","103,6806200000","53,5579122000","23,8732273000","5,1377908900","48,3963381000","5,0657109500","13,2430744000","0,6035319700","4,6105884800","0,2226142500","1,1625410900","7,3710051900","0,1088336300","7,5542597600","5,5811322100","0,1326173000","0,6507336100","0,2325082200","9,9220128100","19,5057752000","34,9961691000","13,3679907000","1,0173508900","14,7138940000","11,8387653000","12,1206407000","291,4591260000","28,6385370000","45,4946838000","32,6411672000","12,5152662000","12,5196680000","41,7964300000","38,3294450000","92,0041188000","871,7396654","771,3979724","63,0120603","292,473787"
pH-R1-P1,pH,P1,R1,"61,8","8,063","19,9","0,1","0,54","0,17","42,26","459,77","92,01","314,534","33,3965338000","37,6442007000","69,6398897000","34,6229274000","9,4584588800","2,6159146400","26,1815376000","2,4711123600","8,1944945200","3,9466319400","4,3550802600","0,6177780900","0,6790453400","2,3638946800","0,1633793300","5,1782594400","4,2473364000","0,1596811500","0,2143400500","0,1582737300","6,2255478700","23,7385377000","39,9587166000","17,4925228000","1,4069616200","20,8294032000","19,2584705000","9,7165092900","170,8825620000","21,8185089000","41,4260755000","12,1019996000","16,9893456000","18,2883265000","46,5159608000","48,7026085000","87,5649490000","338,1747635","357,8236213","43,6836859","255,110062"
pH-R3-P1,pH,P1,R3,"60,6","7,97","19,7","8,5","0,45","0,49","20,91","373,91","116,97","356,643","19,1176539000","34,5660049000","99,0459761000","40,2945654000","11,7338894000","4,6438631200","43,2758022000","3,5887983000","3,1883745100","10,5912095000","8,0284971800","1,3864674100","1,9570713200","3,8390631800","0,1501589200","5,3617235300","5,8750800300","0,1699620600","0,8405161800","0,1952066000","7,9855456800","20,7053791000","35,7672667000","13,6490913000","0,8852351800","19,2223492000","19,1082700000","11,4079224000","250,0616590000","23,8995974000","44,4338577000","24,9833500000","11,6360808000","19,8778346000","45,7969719000","45,0174490000","88,5825174000","310,7032556","485,6270421","37,5919105","342,479789"
pH-R4-P1,pH,P1,R4,"59,9","8,047","19,6","0,5","0,99","1,6","30,46","208,19","107,87","300,072","35,3452081000","9,1150626400","102,4541220000","44,4471968000","33,0302663000","3,7945971100","39,2029256000","3,4463025300","2,8390028000","0,2024332400","0,9381052700","0,1579966800","0,2073706400","1,1997872700","0,0641861500","4,7263287800","10,4654423000","0,0705921600","0,6909281900","0,2073706400","5,0076578700","11,4782270000","32,9829708000","7,5544218200","0,5889199800","7,1457589900","5,5703160600","4,8388604200","171,3294180000","25,8260108000","21,4935428000","11,3094296000","11,6470245000","15,3789601000","27,1054171000","26,5287061000","56,6034137000","324,7502339","372,2209552","28,1107573","218,186085"
pH-R5-P1,pH,P1,R5,"61,6","7,866","19,9","1,6","0,62","0,35","40,54","370,04","100,11","178,426","37,3929557000","32,0622129000","125,7352950000","40,3738854000","25,2345100000","6,5628198900","53,0452462000","4,4233626900","3,2397871900","0,5466514000","1,5697420900","0,1053181600","0,3109393300","2,1615298400","0,1705151200","5,8294932600","5,1436705200","0,1882225900","0,7018089500","0,2557726700","10,1730373000","21,3176567000","42,3944423000","17,3888898000","1,1138790600","20,5175302000","20,4603783000","10,4016448000","275,0149170000","26,1184159000","49,2649332000","30,8620231000","14,8594926000","9,9584821100","49,9876749000","62,0940649000","101,5589170000","269,038203","376,8826085","24,1884115","348,352778"
pH-R6-P1,pH,P1,R6,"61,3","8,046","19,6","0,1","0,87","0,46","38,01","424,42","108,01","226,973","9,2593097900","29,6208783000","30,3160863000","23,9291424000","3,7744957100","1,3211957500","12,9035151000","1,0623997200","2,5270673000","6,9365418900","6,3537692200","0,9076813200","0,8818949200","1,9597664800","0,1083028800","2,9385792000","0,9991169300","0,0599104500","0,3175472400","0,1289320100","3,1148939500","9,8736261100","14,8706368000","9,0150880800","0,8060549300","18,9244500000","14,9867539000","7,0525900800","87,2170307000","7,6403059200","20,0998817000","15,0455255000","6,1710163200","15,6622567000","29,3165318000","29,1157336000","46,7821809000","240,5144332","166,476281",0,"242,408596"
