spl,treatment,week,rep,salinity,pH,temp,O2,NO3,NO2,PO4,Si,NH4,P,aCy,Al,"BB,Car",Bca,bCy,"BE,Car",Ca,"Ca,allo","Ca,epi","Ca,iso1","Ca,iso2","Ca,iso3","Ca,iso4","Ca,iso5","Ca,iso7",Car1,Car2,Cb,Cc2,Cda,Ct,"Ct,iso",Ec,F,"F,iso1",L,"L,iso1","L,iso2","My,iso1","My,iso2","My,iso3","My,iso4",O,"Pda,1",Pha,Pya,Z,EPS.prot.col,EPS.prot.bound,EPS.carbo.bound,EPS.carbo.col
T°C-R1-P2,T°C,P2,R1,"64,7","8,092","21,4","0,7","0,13","0,09","29,01","271,56","124,63","272,323","30,5138579000","54,3821926000","128,2890820000","45,3505590000","20,0850710000","7,5169383700","56,0830976000","6,6925283000","6,0363034600","4,1641326000","8,2993141100","1,1821697400","0,7237773900","4,1737829700","0,1737065700","9,4577726300","7,7531740800","0,1638460000","5,3342797100","0,3715390600","8,0281093300","36,6213754000","71,6392859000","59,2999959000","5,1401268200","27,7684603000","24,3042762000","14,9564776000","198,9981350000","27,4385380000","73,6826472000","35,9065438000","19,6303769000","15,0294382000","74,5835873000","99,1942924000","103,9805120000","488,2142758","171,1512124","141,407905","112,060367"
T°C-R3-P2,T°C,P2,R3,"65,8","8,177","21,2","0,4",0,"0,51","64,19","437,57","98,17","241,075","12,5645481000","17,1683861000","58,7659425000","19,4076911000","13,0034843000","4,8833202600","23,6873395000","2,3749712400","1,0171594000","1,2474596400","2,6100694100","0,3598441300","0,2542898500","1,8232102500","0,0719688300","3,2805833300","2,7884958300","0,0600232700","0,6042694000","0,1823210200","4,1554055600","10,2791611000","20,2790741000","11,0904658000","0,9077605500","8,5841930500","7,1626069400","7,1079305500","134,7772990000","10,4431903000","31,6576292000","32,3684222000","8,0374291700","9,3403288500","35,1196365000","40,1634141000","49,3727792000","619,2152484","124,7619579","143,865756","212,28276"
T°C-R4-P2,T°C,P2,R4,"65,3","8,147","21,4","0,7","0,47","0,91","33,63","299,45","124,56","268,665","6,2916676100","13,2174320000","23,4395883000","13,9560800000","5,1580338100","1,3384245100","13,1151843000","1,2143689200","1,0508008600","1,2094123100","1,5861145100","0,3073096900","0,1833944900","0,7583610000","0,0545226900","1,6945425600","0,6778170200","0,0389767600","0,3676168100","0,1486982300","3,2196308600","9,4894383300","11,9839859000","11,2941783000","0,8358507400","9,0375603100","6,6652007300","5,2530819300","74,1644793000","5,7049599500","18,3010596000","12,9350082000","3,9539326400","4,6316401100","27,7898407000","22,9652156000","32,9870951000","222,9760666","142,8797562","67,64058","106,993025"
T°C-R5-P2,T°C,P2,R5,"65,7","8,155","21,4","1,1","0,08","0,16","25,25","298,36","136,56","279,539","16,0490779000","37,0576834000","47,7390512000","20,3619702000","7,0459366300","3,3180333500","41,1396738000","4,2151906300","5,4719238000","0,7041617800","1,7163943300","0,2885107300","0,1369203500","1,5354638700","0,2249405700","4,0122604600","1,8946785500","0,1005023600","8,1431391200","0,2787307000","3,9565346200","15,3803318000","39,9353743000","70,1128551000","4,7667087400","11,2566196000","16,8849294000","9,3619410700","82,9200495000","22,6804168000","40,4012338000","17,2750103000","5,9626648500","7,8060767600","47,9788132000","53,1194004000","57,8434216000","174,0708121","129,202214","100,578816","128,022362"
T°C-R6-P2,T°C,P2,R6,"63,8",NA,"20,6",NA,"0,21","0,12","26,08","267,86","128,04","226,635","21,1531290000","26,6415418000","66,4362950000","28,8392516000","17,0787796000","4,1564925100","23,8565903000","2,5525770700","4,2754445800","1,0639805000","3,0845673200","0,3318838300","0,4636612300","3,6702446600","0,1854644900","5,2281940100","4,5051459000","0,1177550200","0,8878824400","0,1952257800","6,1737184600","14,6278194000","27,1844484000","23,6473664000","1,9471940100","19,2442035000","14,8502958000","10,4007689000","170,4724960000","16,1851538000","41,1581231000","33,3714511000","7,5641955900","10,2614785000","40,0957772000","40,0957772000","73,2503353000","202,7575825","146,6175276","105,21808","166,317032"
pH-R1-P2,pH,P2,R1,"62,6","8,241","20,3","0,3","0,22","0,17","27,97","296,62","121,83","250,123","20,2353634000","42,3070792000","50,5855829000","26,5362085000","14,5671944000","3,3975391500","18,2056206000","1,9925563500","4,1536373600","19,8462578000","21,4621119000","3,1920554400","2,7013512700","4,0445919900","0,1140019800","4,1233868900","3,1066613600","0,0620084800","0,3953614800","0,0842623300","7,1735635000","13,7257947000","27,4300122000","12,2319620000","1,0601033800","13,2174320000","15,2508830000","8,9810755600","143,1323610000","11,0145266000","43,3238047000","38,0142381000","7,2300482500","22,1932755000","29,3337207000","38,7899859000","65,2963732000","388,9067346","274,5787282","197,859717","245,243865"
pH-R3-P2,pH,P2,R3,"62,1","8,123","20,3","0,2","0,41","0,43","21,8","287,05","128,3","161,455","16,1727970000","40,6697006000","38,9205678000","40,0897055000","11,0932542000","2,7926656300","10,9157815000","1,0823880600","1,2304505800","22,8680006000","18,2882737000","3,0582568300","2,9714615600","4,0078991900","0,1786961400","3,2582306600","3,2000479700","0,1186202900","0,7001774900","0,0388025900","3,8400575600","14,3129418000","19,8422002000","9,5757387800","1,1129696400","19,2584705000","19,0257398000","9,3092304600","89,1940643000","8,9601343200","29,9059029000","31,3604701000","6,0509998000","34,3900052000","31,6069990000","36,1790806000","56,5535750000","351,8628509","253,8283592","138,541532","240,355859"
pH-R4-P2,pH,P2,R4,"61,6","8,136","20,1","0,2","0,32","0,63","22,81","265,34","136,83","198,923","11,9999067000","20,1219938000","55,6088712000","29,2098750000","10,4999183000","4,7505065800","23,7415037000","2,3862582400","1,7606852500","3,2085840100","3,9653255300","0,6962021900","0,3884606400","1,2814156300","0,1008988700","3,2195190100","1,7822337400","0,0586054700","0,8471737400","0,1967527900","4,0243987600","12,4756362000","22,1363160000","15,7284462000","1,1619960200","10,1184883000","10,8083852000","8,0487975200","110,0385600000","9,4285913900","28,2282827000","27,9983171000","6,5540208400","8,6426710200","35,3563815000","42,4276578000","41,6812729000","390,2367997","98,48356452","35,2312556","95,1694142"
pH-R5-P2,pH,P2,R5,63,"8,075","20,3","0,1",0,"0,61","36,84","338,98","114,03","225,62","36,7635077000","40,4370802000","103,2611480000","54,0638182000","26,7571996000","6,7613458100","30,7270559000","3,4613864200","3,0601363100","4,2445492600","7,7446103900","1,1457382400","0,9958737500","4,1817028600","0,1498645000","7,0516979100","5,2336820400","0,1641569000","0,8794585100","0,2368825900","7,6577032000","18,4005242000","36,6235460000","15,4098737000","1,8094174300","25,7827705000","19,2819865000","13,8279389000","222,6793980000","17,9597931000","56,1932177000","47,0480470000","12,3404713000","19,1988953000","51,0088297000","65,6903379000","93,9308198000","297,5759443","182,5130015","165,974496","189,336879"
pH-R6-P2,pH,P2,R6,"62,8","8,22","20,2","0,1","0,02","0,27","62,25","378,64","127,11","232,576","17,1378757000","43,2847352000","94,6750002000","22,5431181000","15,0104153000","8,1221561000","39,3678527000","4,5269413200","2,4856835300","25,7301836000","33,7453502000","4,8990186800","2,6355480300","5,7413605100","0,1240257900","5,1234992600","3,7690109500","0,0969747200","1,3016919000","0,3203999600","6,7135507600","19,3750719000","32,8558021000","16,5363886000","0,7864349400","17,7850204000","14,4282451000","12,4848488000","190,6883980000","14,5460266000","50,7049755000","58,7730145000","11,0714697000","29,1747919000","58,5507892000","62,3736930000","75,2035467000","258,9739846","209,1866702","154,880121","155,526533"
C-R1-P3,C,P3,R1,"61,6","8,055","21,5","0,1","0,1","0,11","33,89","326,89","116,41","223,372","15,8275351000","32,0708374000","49,1925387000","76,2330156000","16,1792582000","4,6495112300","24,9694754000","0,9790946000","1,1533836900","13,0973126000","19,5972705000","2,8142562100","1,9274323100","4,6904270200","0,1076491400","3,5050095600","2,9208413000","0,0824522100","0,9325445300","0,4562273300","7,5357705500","8,1199388100","18,9121747000","16,1292079000","0,8433572800","17,2329637000","9,1130248500","6,7179349800","167,3057900000","9,8724435900","33,3560076000","43,2284512000","8,2951892800","12,1747522000","35,3267400000","43,9089423000","63,3238393000","392,9123784","188,9770843","46,1883461","140,551634"
C-R3-P3,C,P3,R3,"62,3","8,047","21,6","0,2","0,09","0,11","17,89","140,73","131,32","175,455","14,2078518000","25,1767652000","58,7099037000","59,0484255000","14,6501196000","3,7488650000","35,9771476000","1,4938106200","1,1747442700","2,0545938900","3,8142931300","0,5752862900","0,4302561300","2,2092927300","0,0725150800","3,6360317400","3,4707575700","0,1295975500","7,3739213200","0,4350904700","6,8864237400","6,7211495700","19,9135120000","53,9246162000","1,9684871000","11,3488263000","9,2002621200","6,7211495700","158,5530200000","20,2736315000","31,7326406000","23,6342063000","8,0433429300","9,4112231900","38,3977906000","30,8688121000","56,3584919000","519,050908","142,9988415","62,7914803","156,499095"
C-R4-P3,C,P3,R4,"61,4","7,909","21,4","0,8","0,02","0,14","9,75","232,52","111,33","228,774","14,8178727000","56,9005575000","52,3458700000","83,8409637000","11,8654394000","3,7438090000","31,8096705000","1,6806028000","1,5685626200","40,2419124000","34,7032301000","6,3765480300","4,2088139800","4,8859264100","0,1363967500","4,0524299500","3,3307643400","0,2568245200","2,7267223600","0,4627746900","6,7725541600","8,1603726300","27,7431692000","32,3177168000","1,6429341500","21,8720192000","15,0439523000","7,2721688100","125,6253280000","13,8226720000","42,2451944000","42,3007071000","8,2713981100","18,7767399000","41,1570965000","38,3121359000","62,0632422000","808,7816538","236,4299439","61,5682577","229,194165"
C-R5-P3,C,P3,R5,"64,8","8,137","21,4","0,9","0,16","0,12","41,56","197,86","112,26","266,217","18,6604556000","21,7148860000","29,8126332000","70,7656593000","13,0623189000","2,5512033300","16,0441709000","0,7737838300","0,9790734200","0,3105663000","1,6949550600","0,1789704100","0,2316087700","2,2897684800","0,0842213700","2,6993642800","2,6393784100","0,0940742600","0,9575922200","0,3789961600","4,1990111000","8,1580787200","17,6289678000","17,2335877000","0,8660094300","12,5370474000","10,4975278000","4,0790393600","96,2773260000","8,5779798300","23,3944904000","18,5956206000","7,4982341200","7,9929285200","23,1589980000","0,0000000000","45,1693623000","382,6378871","225,8051255","68,4726815","230,49936"
C-R6-P3,C,P3,R6,"61,9","7,91","21,3","1,4","0,43","0,13","11,86","151,8","131,32","246,464","8,1643392700","40,5126855000","37,2432314000","70,9760103000","9,8978633600","2,9456010300","26,1664560000","1,3692034500","1,4474436500","1,0464626400","2,2983058000","0,3227408100","0,1858204700","1,6723842200","0,0880202200","2,7862919900","2,8420178300","0,2053744000","2,4634706600","0,3960910000","3,4550020600","11,2008938000","26,5360053000","37,6710779000","2,0112695100","21,5659000000","14,6001700000","6,7985524500","74,6168994000","12,9841207000","36,5561509000","14,9345250000","7,4115366800","8,3772531000","34,8417572000","35,7937178000","52,2708377000","155,4931629","119,2261284","17,0112363","88,1436299"
T°C/pH-R2-P3,T°C/pH,P3,R2,"83,2","8,111","23,9","0,1","0,13","0,22","46,3","346,57","106,65","322,01","9,7515929400","50,0282180000","37,3933516000","56,7795261000","9,1496427600","3,0614439900","15,8652005000","0,9053797200","0,8685328700","31,6251242000","32,6041976000","5,5007081900","3,5057145000","4,9585331300","0,1473874000","2,5793925400","1,7395903100","0,0799631200","0,2504471900","0,4000515000","4,6788980900","14,5765671000","18,5716934000","14,5489585000","0,9309601400","24,9541231000","17,2159455000","7,0783330100","102,8157860000","6,5384601500","37,3711988000","38,0910293000","6,0585731700","14,7561757000","29,1024577000","30,3321390000","55,8468477000","678,011049","127,4547095","3,94769724","205,539122"
T°C/pH-R3-P3,T°C/pH,P3,R3,"68,8","7,924","23,1","0,6","0,17","0,31","13,97","177,08","126,83","326,898","12,9670102000","37,0062848000","47,5404591000","76,9237329000","10,2080718000","4,1760768700","34,5000558000","1,8818212200","1,2497223000","0,1688813900","1,1676942000","0,1158043800","0,0723777400","1,6067858100","0,1592310300","4,1240287600","2,5843913600","0,1293521000","4,6590544300","0,1833569400","4,5639251700","12,5370474000","24,8015380000","38,2631835000","1,7067602600","20,4551827000","14,1866589000","5,9935884700","92,6531796000","12,7020086000","36,5114013000","25,0191078000","10,3925525000","7,7025871000","54,1059777000","50,1607501000","57,6264286000","731,8804036","276,4465294","36,7889829","104,520637"
T°C/pH-R4-P3,T°C/pH,P3,R4,"71,4","8,034","24,1","0,6","0,21","0,13","34,86","201,99","120,02","260,29","14,9349100000","45,4383087000","46,1031102000","67,0945274000","10,2960364000","3,9732249500","33,4317135000","1,9985812700","1,7759670200","17,0176227000","27,2776662000","4,9222484300","1,9985812700","5,1695976000","0,1137806200","3,7207548100","2,6496284200","0,1547201900","4,0151648500","0,2325082200","4,7918811900","10,2602633000","23,8328342000","35,5462400000","1,9329666900","31,5136657000","14,0937682000","7,2723843900","97,4725009000","12,7971415000","37,4330483000","32,3029167000","9,4146371600","15,2162118000","46,0338561000","42,1816506000","59,3629517000","989,5160875","174,6057368","39,4424075","141,890219"
T°C/pH-R5-P3,T°C/pH,P3,R5,NA,"7,997","23,1","0,1","0,14","0,16","33,71","210,61","110,68","306,58","23,3635387000","54,8838437000","83,3817353000","102,5885280000","23,1394280000","7,0558994800","38,5486067000","2,2831279500","2,1704413800","21,3124605000","30,2636939000","5,1737835100","2,4840040200","6,0213825100","0,9161908300","6,7557935800","5,4716344700","0,1576105600","3,7023121500","0,2204737300","9,9382748500","13,0649231000","41,7670930000","44,3330214000","2,2972565600","35,9006221000","19,5415517000","11,7807640000","206,6937840000","19,8207167000","58,2338240000","60,9138082000","12,3390941000","17,1682429000","49,9786627000","54,3661026000","102,0627330000","439,072209","250,5855941","37,0752725","173,390062"
T°C/pH-R6-P3,T°C/pH,P3,R6,"69,9","8,058","23,8","0,1","0,29","0,37","36,1","251,7","116,45","272,076","13,8151595000","40,3577613000","45,6002682000","66,0682248000","11,3640828000","4,3171851500","27,5277868000","1,4808789900","1,0278469300","20,5082255000","29,2863306000","4,7982427900","2,5038546100","4,7738862300","0,2435656200","3,1642261200","3,1642261200","0,0740002900","7,0213100700","0,1851098700","4,9961465100","8,4934490700","25,9110731000","48,0658417000","1,8432919700","22,3161211000","11,7687007000","5,9398630700","108,9715070000","15,2104905000","35,6946912000","35,3061020000","7,2721688100","16,5007714000","42,6744088000","33,0015428000","52,3485129000","311,6001595","170,7818658","11,8013336","141,558715"
T°C-R1-P3,T°C,P3,R1,"70,6","7,963",23,"0,8","1,86","0,15","24,47","192,28","124,02","434,686","24,4905773000","63,1347329000","79,0943571000","157,3985630000","16,8061749000","5,0877453600","46,7625570000","3,8819738700","6,3136461700","8,6969750900","19,0521283000","2,7700760000","1,1022291900","5,8060406200","0,2272139100","6,0600528900","5,7295045500","0,3067142100","6,5621134600","0,2417169300","8,7044396100","23,6892977000","57,3162824000","73,0726271000","4,2352298100","40,1616233000","29,0331625000","15,5357720000","156,5697300000","27,9864261000","71,7840811000","38,2885160000","11,7344661000","24,8456292000","66,4432357000","72,0899696000","94,2062768000","351,4303098","175,5546633","46,3687789","300,19787"
T°C-R3-P3,T°C,P3,R3,"71,6","8,124","23,1","0,1","1,59","0,2","43,02","293,97","116,58","344,001","6,3640248000","16,1747879000","20,6798657000","51,0232615000","5,8385548600","1,8382102900","8,8275894200","0,8322134600","2,0473472300","4,3142354300","7,7247789400","1,1640777300","0,6279893000","2,1035088700","0,0561616400","1,5127499500","1,3382018800","0,0200742000","0,0000000000","0,0765840600","1,8618460900","6,9819228400","11,7955937000","9,9537284600","0,8189776600","9,0183170100","6,1091824900","3,7818748700","53,0044309000","5,0618940600","15,9420572000","14,4874899000","4,5964325400","6,3611570300","18,8846849000","17,4931818000","25,4840184000","572,5542474","131,7006386","57,1108344","140,607944"
T°C-R4-P3,T°C,P3,R4,68,"8,115",23,"0,8","1,55","0,17","24,32","230,99","131,86","254,196","11,8285618000","30,4267543000","54,9301775000","93,7596974000","12,6443247000","5,8211170700","26,7304309000","1,7986736800","1,3400883200","15,7192869000","20,7586305000","3,6126335300","1,9566308500","4,0865050700","0,1222894300","3,5420458200","2,4387856500","0,1457022100","2,6382402200","0,1375756100","4,6453060000","11,0326017000","22,3576792000","26,6788062000","1,5927645500","22,1232698000","10,6261375000","8,1873518200","133,0880170000","11,9035966000","37,8592439000","42,0400193000","7,0260253200","14,2839781000","61,5004613000","38,4873855000","55,6275393000","246,0903463","120,4975511","34,0667363","182,784468"
T°C-R5-P3,T°C,P3,R5,"70,6","8,049","23,2","0,6","1,63","0,19","33,47","249,77","123,39","257,883","21,6300765000","71,8130875000","69,0556072000","122,4656440000","13,6291554000","7,2162608400","47,2530134000","4,1930837000","3,7539920800","3,1942709000","6,8662348700","1,0325890800","0,5645463700","3,5272085000","0,2653850400","5,2237697700","4,1790158100","0,2112751000","4,5240093800","0,1930073000","5,0038215700","23,9743539000","62,3063029000","53,1080285000","3,2349060700","36,1264920000","25,6239654000","11,2723453000","107,2247480000","18,8605582000","67,5240976000","34,1469582000","12,5370474000","15,4051742000","76,4622671000","79,8438907000","84,1851738000","528,3316919","109,8195567","20,7619174","53,6130526"
T°C-R6-P3,T°C,P3,R6,"66,7","8,061",23,"0,6","0,23","0,12","21,13","150,12","131,44","296,537","28,7702089000","38,4084546000","76,4756606000","149,0253810000","20,6975554000","6,9456510500","34,1656706000","2,5636195300","4,1824683000","4,5540073600","9,3680920700","1,3800022300","0,8545398400","4,5699304600","0,7643089300","6,0485755200","6,5929473200","0,2181738800","3,8622886000","0,1380002200","5,8671182500","21,7748719000","36,4072752000","38,5747664000","2,5541865700","33,6300799000","18,6900984000","10,9479217000","147,4642710000","17,4198975000","41,9771141000","42,7029432000","13,3068661000","16,3257273000","62,8230519000","67,9894213000","83,4098564000","218,7263259","111,8311291","89,6686272","174,296894"
pH-R1-P3,pH,P3,R1,"63,1","8,142","20,6","2,2","5,2","1,06","15,72","156,52","132,46","290,727","24,1151970000","71,6342980000","69,0569964000","116,0392290000","18,8075460000","3,7375309200","24,7050879000","1,7455504200","3,2539885000","35,8645028000","45,7475469000","7,1638196500","4,3537861700","8,3846959600","0,1261235900","5,2317183900","4,4268386400","0,1127028200","0,6636194300","0,2068426800","8,9111686900","20,9268736000","40,5681873000","20,9781782000","1,6599943200","31,2178361000","23,2840214000","9,1411343300","171,2669130000","11,7282478000","59,1011704000","43,9809293000","16,1550865000","22,3923749000","46,3561446000","56,5702103000","86,1796249000","554,3389902","234,3056616","126,982501","360,80194"
pH-R3-P3,pH,P3,R3,"63,5","8,12","20,7","0,5","0,33","0,15","18,2","226,56","131,03","344,072","24,8966595000","56,3067394000","76,0825525000","144,9176790000","19,0109244000","6,0937313700","26,1460562000","1,6675831200","2,1771224000","49,1216458000","38,6426359000","6,7012136300","6,3203458800","8,0651319200","0,2058744600","4,9268397000","4,8681868400","0,1103804600","0,6410138700","0,1955807400","9,7363736900","17,2439389000","32,2621633000","15,5381337000","1,4183310100","32,4936809000","23,3438357000","12,1411407000","185,6949340000","13,5488092000","52,4943039000","55,3682937000","14,3112963000","25,8506338000","50,4989125000","54,5067627000","86,9821818000","261,4341331","186,2518662","103,73584","274,192232"
pH-R4-P3,pH,P3,R4,"63,2","7,895","20,3","2,3","1,67","0,78","12,56","113,81","122,08","373,549","21,9351576000","38,6174690000","90,3781720000","110,3963950000","22,9475495000","7,7982672900","45,5142524000","2,7985314000","3,1526513700","27,3115024000","32,2888553000","5,7937961200","2,2722697900","4,5396212400","0,1229583200","6,0532462300","4,2596917900","0,0835045200","5,7125622900","0,3000183000","10,8173752000","13,3956097000","34,7054038000","53,9714466000","2,3465846300","19,5049045000","15,0770670000","11,8822982000","238,8229830000","25,7823451000","54,1989732000","58,6268108000","10,4250352000","20,1069512000","46,3417351000","57,0654424000","77,3470352000","524,5768967","257,9372242","89,864476","220,751158"
pH-R5-P3,pH,P3,R5,"64,5","8,148","20,6",1,"0,72","0,56","26,94","197,34","119,36","331,109","55,8708855000","51,6742501000","128,5233540000","201,8604240000","39,4453247000","9,6909730600","42,0422332000","3,1715151000","3,4598346500","20,6069849000","35,1330482000","5,2474158900","3,0142498900","9,6036622500","0,2096869500","8,0050283400","8,2439844100","0,1311619700","1,1003671200","0,2411399900","10,8127622000","24,2540411000","50,0404930000","26,2399076000","2,0483083200","28,4955113000","17,7424882000","11,8283255000","239,3742430000","19,7138758000","63,9804877000","60,5156247000","24,5527362000","23,8801074000","62,6597691000","76,5388059000","102,4524150000","441,554774","171,6697133","127,817896","268,658214"
pH-R6-P3,pH,P3,R6,"66,1","8,253","20,6","1,4","2,34","0,47","45,79","340,4","115,87","429,366","25,3566488000","53,5601956000","108,2990470000","107,5845050000","24,8987409000","10,4313642000","36,1182267000","2,7278871400","2,1722991100","49,3171962000","70,5646841000","11,2168717000","4,7400167300","9,1496838200","0,2152277900","5,6469215900","5,1906046900","0,0805083400","0,4692882000","0,2552701700","9,1263379200","21,4468941000","33,8847790000","16,7988816000","1,1322775600","23,6714390000","12,1494374000","11,1227243000","227,1887750000","17,6822797000","57,7811269000","72,6684657000","11,6931205000","25,1396144000","56,1256507000","71,9109900000","81,9088828000","201,658966","142,4207664","74,9340327","202,180503"
C-R1-P4,C,P4,R1,"61,2","7,885","20,4","1,9",0,"1,25","21,16","143,65","108,48","416,122","36,3096349340","46,5730317405","24,6810698908","141,7818165739","6,4288279359","1,1371077682","33,2548077255","4,2237016777","9,2264510227","34,2317756111","54,8723277279","8,5295191906","4,5542705528","12,4879235545","0,3305688751","5,4467172618","3,7431184706","0,1204150491","3,3294744733","0,1894980813","7,8941408772","22,6746599664","19,7218185336","47,4313366591","1,7493390552","12,6930107113","17,0599822604","8,0141126230","156,2512018002","16,1721913411","34,2879249651","40,5744444478","11,6852480462","29,4303727115","57,7130428660","55,8275315224","60,3217938154","268,2379462","132,5523447","200,769988","243,452346"
C-R3-P4,C,P4,R3,"62,1","7,995","20,2","1,2","0,21","0,06","2,81","38,14","32,48","304,074","31,8806631249","30,6395055036","24,7004677990","86,9556266568","2,2885619597","1,3615379811","59,4375487845","7,0757743627","7,0653329839","2,4363217186","5,0484066469","0,8457516823","0,5255493993","3,4630573000","0,5760160635","4,4224011180","1,4278604507","0,1383996823","15,7559944928","0,2888781466","3,5894825218","13,8819766036","14,9599726832","108,2872037289","2,6125209440","7,1789650436","12,4937789432","3,7877964733","90,5104874554","29,0926566821","27,6053020460","18,1655579556","10,0346859449","7,7919013859","61,3866317882","68,1621982107","35,4387031295","286,4724276","164,4270031","175,149074","287,994046"
C-R4-P4,C,P4,R4,"61,3","7,985","20,3","3,2","0,44","0,08","5,07","157,32","1,1","343,614","32,2490213049","65,5463163935","24,1990178201","134,2425946418","3,6756532981","1,1947240163","42,4294648430","5,8549650262","10,7541209683","75,9030831536","72,7802095800","14,3523615377","8,3536022246","10,5798761265","0,3349561038","5,3593752816","2,6218526557","0,4655988596","4,4979150150","0,2605214141","5,0894786847","18,5264735453","24,7529933139","73,7545616923","2,5674937042","14,5936945617","17,1384339041","5,6678285352","98,6279278439","48,7163357431","35,1829492406","35,7805774195","10,2753490111","43,4057361944","69,1593672293","78,7099465133","49,0247889967","657,421365","230,1612655","129,446579","306,400257"
C-R5-P4,C,P4,R5,"64,4","8,167","20,2","5,5","1,55","0,19","14,01","65,51","135,36","339,167","35,4098987291","29,9379539952","24,6891808266","138,4473549468","4,6198434993","1,2611369381","43,6751294686","5,5857835475","7,0219277288","2,1086799931","6,7066765671","0,8336641833","0,5978096104","7,1690449376","0,4250052699","5,0561877859","3,3530508475","0,1356359362","10,8491558887","0,1611283716","5,5085835351","19,3731826742","17,3979957292","86,0291865928","2,4588000187","7,5310586495","13,4920379338","4,9763532419","115,3609160614","22,8592910950","26,6913492064","24,9349892387","13,5718724778","12,8197939799","50,4608911975","70,1906450530","47,4483306430","280,6749816","193,3785384","202,772018","279,901397"
C-R6-P4,C,P4,R6,"60,7","8,044","20,3","4,6","3,56","0,44","3,06","39,06","79,73","361,419","43,6147998743","57,0285438658","35,2044346617","122,2728262203","5,4797446118","1,9816568765","64,1780991532","8,9223581207","11,8560034518","4,2345966974","8,8963390934","1,3269703937","0,7480470356","5,2124784744","0,2580220210","6,1031413929","3,0392161592","0,3138797596","12,8346821290","0,3620981303","7,9316129033","20,6320771785","29,0465375996","116,3449401708","4,7622411506","15,7643895088","22,6335122102","8,2034127225","125,3985529111","35,1363038896","57,0038347913","34,9633403683","11,5885559242","14,9424593697","81,1282681033","109,5780353778","59,0793970464","219,2397736","305,1693493","159,181497","197,065453"
T°C/pH-R2-P4,T°C/pH,P4,R2,"66,5","7,924","23,9","1,4","0,84","1,61","13,81","135,16","135,25","360,125","29,4645234903","47,7854600866","19,9217558626","70,3136671183","3,9616166037","0,4997095952","16,1522509937","3,0938032139","7,7321022779","113,9149890976","104,9415163234","20,0375481868","12,5676733975","14,9012574702","0,4161959222","4,1945928820","2,3303293789","0,0558937890","1,1109655604","0,0962302710","5,8121156273","21,9325118011","19,8194916663","24,2128550578","1,1280202193","17,7927501986","16,2300587328","5,9766094658","103,8504433780","6,6345848198","14,0642231924","33,3922492171","13,5159103974","70,8129226384","46,4592719955","67,1598750420","49,8416330679","383,79541","260,2277016","283,441088","320,129099"
T°C/pH-R3-P4,T°C/pH,P4,R3,"66,8","7,764","23,8","1,1","0,35","0,41","6,42","81,11","94,61","589,601","33,3871209037","31,4156950763","24,0320759492","87,0199780906","5,0778891108","0,6661343014","33,3920298413","6,0796880573","14,4776503495","0,4569942027","2,9380841859","0,1461641377","0,2627254121","4,1721535512","0,4329418763","4,9969931094","2,1716889885","0,0396792509","0,5954927963","0,1535648535","5,1445836232","23,5512291276","20,9086531790","81,7141847932","3,9799328224","9,1506118544","18,7229108911","5,1867523415","72,8042920123","18,6385734546","31,2681045625","17,0361621622","10,7108544287","18,8015325513","73,0450345098","83,0581112325","42,5693210463","105,3085285","177,7350682","190,775031","91,0100734"
T°C/pH-R4-P4,T°C/pH,P4,R4,"76,8","8,061","24,5","0,8","2,24","0,12","31,1","201,43","130,35","320,763","29,1343887733","39,6564827363","27,6839452480","74,1416419354","3,1608063292","1,0103629653","43,8001205589","8,0448149939","17,3686285303","18,5480540320","32,2599484742","6,0035676555","2,5167944475","8,5049111139","0,6935777331","6,1431354609","2,1520538239","0,0490910409","0,5285321332","0,2077299646","5,9279300785","20,7771014632","20,9384172923","129,7976572534","6,3903209561","16,0621471764","17,5881489788","5,9670583298","124,3887110200","22,3226673913","27,8397508307","25,4137992474","9,7429345845","24,4643605309","82,6841911934","73,9278217137","50,6319572381","161,4554296","555,6769453","177,200571","120,129637"
T°C/pH-R5-P4,T°C/pH,P4,R5,"69,8","7,832","24,2","0,8","0,39","0,16",22,"170,61","126,73","303,587","28,8666914799","38,0810163528","28,5261479922","74,9633214622","4,0377675099","0,9859890168","51,6210894468","9,0183771639","27,4121211135","36,2685849518","51,8863932093","9,8455006590","4,0829468752","9,6582274148","0,6261949102","6,4691043542","2,1119069197","0,0679841377","0,9281504007","0,4038079327","6,7803327423","14,4276588517","22,8838326401","163,7840672183","7,5581536922","15,6281112061","15,5836500078","6,7136409449","148,9450143397","38,3477835427","26,2987988006","26,7656413828","9,1145456536","33,2673048106","55,6733662697","58,1038542924","52,6198282003","222,0896024","296,226108","203,962363","204,930232"
