ID;treatment;time;rep;salinity;pH;temp;O2;NO3;NO2;PO4;Si;NH4;P;aCy;Al;BB.Car;Bca;bCy;BE.Car;Ca;Ca.allo;Ca.epi;Ca.iso1;Ca.iso2;Ca.iso3;Ca.iso4;Ca.iso5;Ca.iso7;Car1;Car2;Cb;Cc2;Cda;Ct;Ct.iso;Ec;F;F.iso1;L;L.iso1;L.iso2;My.iso1;My.iso2;My.iso3;My.iso4;O;Pda.1;Pha;Pya;Z;EPS.prot.col;EPS.prot.bound;EPS.carb.bound;EPS.carb.col
C-R1-P1;C;P1;R1;59.6;7.581;20.7;0.8;4.31;1.29;73.84;436.17;90.84;242.959;2.78270486954481;3.08290827844329;9.15028495635113;10.7393916791426;2.07195698952424;0.576335395109246;4.10871225056675;0.363480081593898;0.646772572668226;0.0552156765169357;0.240285305847569;0.0230296540246516;0.0405099938264955;0.317420773544595;0.0224747226023708;0.739897986826388;0.518560982220204;0.0161161448969143;0.0465935183412183;0.0194225997798266;0.746221901243708;2.49478423763257;3.74682689661916;1.29985036522225;0.0171183103409428;1.63473187687711;1.93195585449113;0.948587162597934;19.1994041709822;2.67501579852617;4.98324456084781;2.21969396047917;1.45133835877484;1.18834081141996;5.80126377938654;6.20097841595507;7.89856910723213;537.9380906;327.654211641242;37.6488858;380.582588
C-R3-P1;C;P1;R3;59.3;7.889;20.8;0.2;0.49;0.28;47.11;456.1;97.18;183.524;2.74063302682138;2.20819916396618;10.5876711509398;8.85738372676612;1.95669186113314;0.711969209716124;5.60502117036319;0.511658242656323;0.283333170568736;0.0229430762509318;0.139869838349054;0.0105040590064507;0.022390231040066;0.227772226876721;0.0118861720336153;0.560712483860171;0.822168304985981;0.0158085492156473;0.0502865506882532;0.022390231040066;0.623713886541089;2.33105189919397;4.50008172950109;2.6263091772425;0.046614145570105;1.09307433651393;1.25687798348432;0.935570829811633;17.2434839137673;3.61943058401874;4.47939973061327;2.40035344214298;1.10567461705011;3.84220717163443;6.08080406715253;5.47810490297458;6.96795513650954;337.8941237;248.372699356935;34.3340934;316.181129
C-R4-P1;C;P1;R4;60.9;8.101;20.4;0.2;0.33;0.3;22.15;318.89;113.92;393.189;2.74579196843202;3.77451338469745;7.60761247089084;11.4885466330795;2.01321901242743;0.427117089706676;3.44860870833658;0.357079883456935;0.706092845958696;0.919866251270788;0.691145315953522;0.108191645751736;0.138323968143118;0.367519428222453;0.0244380252465543;0.640802057430728;0.565095485244819;0.00826859988347414;0.0498029515835355;0.0163711042913811;0.616467802085257;1.98459371373061;3.97304475598289;2.18203141496614;0.0507449166271196;0.908478866230905;1.70610168033244;0.832772294044997;18.5859634716406;3.37705388072143;5.36164759445204;2.29823522707223;1.29512314560894;2.76209797083864;4.83136200250371;4.95145321862713;8.18442121452664;663.4383631;385.335583814697;87.5712001;410.579725
C-R5-P1;C;P1;R5;60.4;7.989;20.8;0.3;0.47;0.42;48.75;478.29;95.53;340.331;2.97939409627973;2.73963142586136;9.950785950697;12.4610462204446;2.30878019554936;0.765600461898937;4.42971568540096;0.409915730619005;0.181471590352328;0.0557251989667117;0.50356907547929;0.0280084769675619;0.114076192649132;0.844922388521451;0.0180888080415504;0.541941653416749;0.661634288527197;0.0166854037491941;0.0489930464415952;0.0142959934521931;0.5851639938733;2.20766415870381;3.53744658923846;1.67038972962123;0.0347997860337757;0.947566694624378;1.42301243964643;0.82787405951393;16.9631062314862;3.05216219531642;4.53834574793781;3.02888862737827;1.51943150681874;1.45400947390557;5.73652175251806;6.11138357000934;7.28795156005837;430.3313189;333.22435580201;60.1105669;510.536933
C-R6-P1;C;P1;R6;58.4;7.82;20.7;0.8;0.73;1.05;15.36;187.15;123.88;216.549;2.24666952449332;4.10061960163182;7.60224709546299;14.506433518087;1.4932340693901;0.526357048423313;3.73160613543314;0.3774237730653;0.389646817848615;0.0292160582625587;0.170228257835929;0.0190798747837118;0.0274273200015858;0.231343481752506;0.0131174139138019;0.58434678664513;0.509604755795172;0.0167831927062072;0.133499753301236;0.0187817517402163;0.489220565563365;2.70769993579168;4.80530565868989;3.87229100315776;0.199868091676604;1.11773309771074;2.52084485866678;1.03619633678352;12.7095426095316;2.91493920314838;6.14923071992841;1.69528515427861;1.17888566840616;1.68307145554816;5.68762078081793;7.11532967069672;7.38926895902999;312.4758072;290.389938300317;36.4959982;284.001509
TC/pH-R2-P1;TC/pH;P1;R2;62.2;7.959;20.9;0.7;2.26;2.71;9.79;140.17;110.88;306.499;2.09976430835245;1.99851081873543;11.0531330465754;9.80025087842051;2.05899218586017;0.90566570328584;5.6731784599392;0.594303270067868;0.256261252560198;0.0512522505120396;0.147740182997749;0.0115874653331568;0.0365450829738022;0.277430660380388;0.00802209138449316;0.518038382493046;0.403765209884286;0.0143369274043234;0.0748395701704888;0.0193867208458585;0.807530419768572;2.10770518367269;3.59577788670506;1.84313645939806;0.0540751124338566;0.840542669633325;1.18336218745961;0.794833400589821;22.2629534280222;2.62574356616573;5.45717884302724;3.8929060802051;1.1224164954016;0.971722218356576;4.25128470531002;5.80430503643348;6.38152183924032;1414.40376;951.913460451298;73.1238153;1168.06881
TC/pH-R3-P1;TC/pH;P1;R3;61.3;7.947;21.1;0.4;0.32;0.08;12.09;277.05;120.95;285.54;2.89916795811978;3.63763314196224;7.29580798645086;13.8012984634191;1.2466422219915;0.453195421730543;4.26653977958385;0.498515856916587;0.62274149116441;0.0129065594023712;0.235083760543189;0.0165941478030487;0.0188988905534721;0.312523116957417;0.0195903133785991;0.625095081434667;0.359823639313233;0.0197711611586977;0.0935309604562298;0.0179769934533027;0.493772585334947;3.75582338845199;4.85001728347954;3.49033053746649;0.183901174434682;1.49182355569282;1.89367039375796;0.76429692730037;11.4749597091935;2.69211117004426;5.45776293790436;1.34736880998313;1.53647320436672;1.82161880752064;7.16981983846795;7.86077869649302;7.26213403431451;1025.932002;552.398339883954;135.026762;1048.33655
TC/pH-R4-P1;TC/pH;P1;R4;61;8.129;21;0.3;0.91;0.19;24.34;361.92;118.61;392.918;1.69709047919626;2.62042148140371;6.70336322211042;13.0640334520699;0.590562620965732;0.511879504888836;4.0104521107433;0.397104068708639;0.369108367766141;0.234565921489086;0.436515492365554;0.0660481099905539;0.05952483986803;0.297080593496607;0.0652327012252384;0.477003437513206;0.133189271513428;0.01481570907312;0.117910030945924;0.0233750512723771;0.610192709026633;2.67927255486314;5.29621952870485;3.39068032699457;0.150920489332103;2.11554121962026;2.18058714291751;1.2637493669181;11.1817039572901;2.20846396718776;6.43335155659044;2.37262748789036;1.38145151383695;1.49214916296496;9.38678232304907;8.25444217810403;7.71258804810313;708.5924604;298.005811709788;15.5338677;477.129692
TC/pH-R5-P1;TC/pH;P1;R5;62.1;8.019;21;0.7;1.12;0.38;44.66;363.08;89.68;165.389;1.69263674480743;2.75697318429065;9.93374700578459;11.6890728382788;0.790869927315197;0.576023038755919;4.77730954227998;0.514734687327923;0.778354385894975;0.225339974670578;0.37080292547718;0.0500188392247263;0.0515500281805853;0.2674476709567;0.0132703042841111;0.64852850221183;0.654344901334806;0.0186994948877534;0.1857016744862;0.022202239859955;0.994604250028906;1.72747053952389;4.20482888567339;3.85215645003056;0.183685934265762;2.01829049567269;1.7245623399624;0.950981256606585;19.2057499040669;3.19029491895237;5.07480823479661;2.09972008339436;1.09639123468099;1.0134835766649;4.34208159806432;4.99786508884749;7.30539729845793;1805.83239;528.572801283239;43.6032283;1212.18346
TC/pH-R6-P1;TC/pH;P1;R6;60.5;7.873;20.9;0.3;1.02;0.68;25.13;273.39;120.84;306.861;2.34083739243111;3.09063677021577;9.48914045758029;13.980501311987;0.949733689521714;0.663309290220599;4.489220949875;0.430071984758118;0.308425021120605;0.214346774454767;0.400091005051422;0.0489344726247217;0.0530697801704729;0.392854216846357;0.0158520122587127;0.565504059607459;0.706880074509324;0.0135493271766694;0.044848141947105;0.0175750570694423;0.471253383006216;2.60367494110934;3.74009087027336;2.84752024080191;0.126146989263997;1.65724106357186;1.96748287405095;0.773640970435205;16.0069065761111;2.77646784821162;4.08026887452882;2.25023490385468;1.48837526799463;2.28094332949592;4.6155559138035;7.21851477216943;6.88029939189076;646.8074445;305.758561525723;1.37001094;458.692709
